"WB"	"min"	"max"	"value"	"n"	"Indicator"	"Unit"	"type"	"Kysttype"	"Salinitet"	"SalinityClass"	"Match"	"MatchValue"	"Region"	"Kvalitetselement"	"Indikator"	"NotUsed"	"Ref"	"HG"	"GM"	"MP"	"PB"	"Worst"	"ClassID"	"EQR"	"Class"
"0101010406-C"	1.20480288168067	1.20480288168067	1.20480288168067	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010407-C"	1.00662786644566	1.20153898037561	1.06091810770046	4	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010408-C"	1.00970149064785	1.08875816470974	1.04451999121106	11	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010500-C"	1.20014514381086	1.27485859746134	1.2404405831979	31	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101020101-1-C"	1.28761864191556	1.32375441950101	1.30561281713008	123	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020101-2-C"	1.25773257418321	1.30853919594825	1.28682412547577	177	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020102-2-C"	1.25963014618054	1.25963014618054	1.25963014618054	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020104-C"	1.27716308144423	1.28338873828505	1.28047063166187	3	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020105-C"	1.27328966312356	1.29170055695615	1.2854536342401	7	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020200-1-C"	1.25143118259998	1.3019325366387	1.28683098255902	74	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020200-2-C"	1.17451104824687	1.29914786985942	1.26446168663582	95	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020300-1-C"	1.06570092023729	1.23630367145761	1.15594965443483	21	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020300-2-C"	1.14896810071154	1.39345075795939	1.30045387574366	137	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020500-C"	1.30128273498881	1.42809670639562	1.40223880756747	55	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020601-C"	1.42470805830025	1.50527335973559	1.45705622405019	187	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020602-C"	1.49194351501845	1.51053577497765	1.5041039731349	9	"Chl"	"[µg/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"type"	"S5"	"S"	"Planteplankton"	"Klorofyll a"	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0101020603-C"	1.46940627530381	1.47247664196478	1.47101412953303	7	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020701-5-C"	1.48854445985385	1.53457779101618	1.51827458043645	66	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020702-1-C"	1.50661158537144	1.5323735591802	1.51949257227582	2	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020702-2-C"	1.4978873407939	1.5249310451877	1.51049243206132	14	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020801-C"	0.278892689845064	0.386297082794564	0.317737018644141	60	"Chl"	"[µg/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"type"	"S5"	"S"	"Planteplankton"	"Klorofyll a"	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0101020802-C"	0.393873624790173	0.520303425348394	0.440003887620147	24	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101020900-C"	0.85578141897753	1.17219001460043	1.0035545471402	31	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101021000-1-C"	0.751376247422381	1.28980039338489	1.12930347477428	38	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101021000-2-C"	0.472426958607285	1.07439377265317	0.878347206313373	80	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101021100-C"	1.0445447442132	1.14655764343647	1.10516888327596	6	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030101-6-C"	1.30465535066285	1.35714653437282	1.32539593550639	15	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030102-1-C"	1.28411171601696	1.30693641149408	1.29510367448841	7	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030102-2-C"	1.25713158136868	1.2852920451007	1.27283514881308	59	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030200-C"	1.30787689639972	1.32223103784925	1.3146871902682	19	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030300-C"	1.30299356809029	1.31183869432617	1.30747341028307	26	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030400-C"	1.29813255828161	1.31397949298332	1.306312436294	23	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030600-C"	1.29110458067485	1.30688418079536	1.29940616048791	6	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101030700-C"	1.30508126498579	1.31144027894997	1.30829455722601	3	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040100-C"	1.25464230456523	1.26466641878034	1.26036747553191	5	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040200-2-C"	1.22603555379824	1.26364172602093	1.24561188899922	20	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040300-3-C"	1.10042129006687	1.23047321985711	1.15867313759673	31	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040300-4-C"	1.15748225005118	1.1746556866955	1.16606896837334	2	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040400-2-C"	1.19289396797399	1.2090531684622	1.20243018709205	5	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101040500-C"	1.22302543007574	1.22302543007574	1.22302543007574	1	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000030-C"	1.15727884821839	1.22615365639001	1.20809154045226	131	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000031-C"	1.16314545417061	1.21971183814681	1.20173878458834	116	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000032-1-C"	1.20717038746391	1.22090054549031	1.21309275693678	11	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000032-2-C"	1.21036308766394	1.22820352840718	1.21817292853165	62	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000033-1-C"	1.08813074493146	1.19427154098566	1.13849150625723	25	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000033-2-C"	1.01823173193159	1.09969102198279	1.06676487167593	17	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000034-1-C"	1.10756284436518	1.18753989065414	1.15747618586307	36	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000035-C"	1.18642504631982	1.20294904672019	1.1954411440007	10	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000036-C"	1.2003004235717	1.21627770749095	1.20858532105173	20	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000037-1-C"	1.21749757746091	1.23180434738214	1.22259536907077	5	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000037-2-C"	1.21277751511597	1.24403810149038	1.22941651405822	7	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0110000038-1-C"	1.13589068223814	1.19004230684304	1.16710275797235	10	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000038-2-C"	1.14562965565167	1.15723022302756	1.15142993933961	2	"Chl"	"[µg/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110000200-C"	1.20739914485059	1.20739914485059	1.20739914485059	1	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000300-C"	1.07178878370713	1.10321683882848	1.08770733552852	8	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000400-C"	1.11081216615307	1.12797368821371	1.11790039020526	3	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110000701-C"	1.21402285043355	1.21505634367957	1.21453959705656	2	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010100-C"	1.03586539147156	1.06578595907642	1.05347947998743	6	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010200-C"	0.994989391866621	1.0375645647419	1.01271957831232	5	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010300-C"	0.830530038164867	0.999491820050465	0.92951305976117	17	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010402-C"	1.01173848372239	1.06499972194433	1.03233929602736	4	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010500-C"	0.903781282295892	0.992688025910776	0.956112930244142	4	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010600-C"	0.889110879501799	1.08123064073887	1.00761645334353	8	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010701-C"	0.678471452259755	0.781236877071333	0.721261675611799	29	"Chl"	"[µg/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"type"	"S5"	"S"	"Planteplankton"	"Klorofyll a"	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110010703-C"	0.801421015472202	0.801421015472202	0.801421015472202	1	"Chl"	"[µg/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"type"	"S5"	"S"	"Planteplankton"	"Klorofyll a"	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110010801-C"	0.783025159203744	0.953494093329697	0.851710083539642	12	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110010802-C"	0.96384060174063	1.0471148830685	0.994764378478566	5	"Chl"	"[µg/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110020100-C"	1.1956433551079	1.23775969617642	1.21130055832063	19	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110020200-C"	1.20970077804484	1.20970077804484	1.20970077804484	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110020300-C"	1.2209436457072	1.22873645206238	1.22530230603048	5	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110020600-C"	1.2187737471291	1.24415834796625	1.2264437077219	10	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110020800-1-C"	1.22534258426218	1.24035278617681	1.23179143050092	8	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110020800-2-C"	1.2448411924089	1.2448411924089	1.2448411924089	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110021000-1-C"	1.24218288403782	1.26346254975095	1.25390256007949	8	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110021000-2-C"	1.25223236531019	1.25223236531019	1.25223236531019	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110021101-1-C"	1.26783600212126	1.28720907297927	1.27962191925155	21	"Chl"	"[µg/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"type"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110021101-2-C"	1.26745611883618	1.26745611883618	1.26745611883618	1	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0110021200-C"	1.23617470366778	1.24121050823193	1.2389669368528	3	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0120000030-C"	1.20464006172759	1.2182868935659	1.21278563983425	84	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0120000031-1-C"	1.1971973658918	1.21585143189673	1.21008152987777	96	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0120000031-2-C"	1.19868966904315	1.20778252470952	1.20301959937397	8	"Chl"	"[µg/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S2"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0120000031-3-C"	1.20259452488396	1.20566170580767	1.20412811534582	2	"Chl"	"[µg/l]"	""	"Moderat eksponert kyst"	"Polyhalin (18 - 30)"	">18"	"type"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0120000032-3-C"	1.16095170550621	1.20802654080339	1.19179760618459	98	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0120000032-4-C"	1.18359338000908	1.18359338000908	1.18359338000908	1	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
