"WB"	"min"	"max"	"value"	"n"	"Indicator"	"Unit"	"type"	"Kysttype"	"Salinitet"	"SalinityClass"	"Match"	"MatchValue"	"Region"	"Kvalitetselement"	"Indikator"	"NotUsed"	"Ref"	"HG"	"GM"	"MP"	"PB"	"Worst"	"ClassID"	"EQR"	"Class"
"0101000030-1-C"	1.10513904567931	1.2970576899556	1.25053094481874	547	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101000030-2-C"	1.24485984608367	1.31089870312384	1.27711288443243	401	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101000031-C"	1.2052626958997	1.26907359235562	1.24291710050991	190	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101000032-3-C"	1.28829321596812	1.31275339989544	1.30440844192543	185	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101000032-4-C"	1.22537095369873	1.2933219903773	1.27096681706263	190	"Chl"	"[µg/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"type"	"S1"	"S"	"Planteplankton"	"Klorofyll a"	NA	2.3	3.5	7	11	20	NA	5	1	"High"
"0101010301-C"	1.04181811147994	1.21744344367103	1.15597879942169	74	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010305-C"	1.17866232123349	1.18764268549589	1.18160081695724	5	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010306-C"	1.13242672522972	1.21841069818526	1.18614504533912	16	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010401-C"	0.913794186825936	1.12345103313635	0.993362024217497	67	"Chl"	"[µg/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"type"	"S3"	"S"	"Planteplankton"	"Klorofyll a"	NA	2	3	6	9	18	NA	5	1	"High"
"0101010405-C"	0.88113599393394	0.947055601566048	0.911555494748421	22	"Chl"	"[µg/l]"	"S5"	"Sterkt ferskvannspåvirket fjord"	"Skagerak (5 - 25)"	"18"	"type"	"S5"	"S"	"Planteplankton"	"Klorofyll a"	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
