"EUVannfore";"Vannforeko";"Vannfore_1";"Vannregion";"Vannregi_1";"Salinity";"Type"
"NO0110010801-C";"0110010801-C";"Langesundsfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0201020900-C";"0201020900-C";"Rasvågen";"Agder";"Agder";NA;NA
"NO0121010500-1-C";"0121010500-1-C";"Lillesandsfjorden";"Agder";"Agder";NA;NA
"NO0120030203-2-C";"0120030203-2-C";"Tromøysund - Arendal";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0240000300-C";"0240000300-C";"Sogndalsstranda";"Rogaland";"Rogaland";NA;NA
"NO0131010500-C";"0131010500-C";"Dalskilen";"Agder";"Agder";NA;NA
"NO0120020100-1-C";"0120020100-1-C";"Lyngørfjorden-østre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120030203-1-C";"0120030203-1-C";"Galtesund";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120010102-C";"0120010102-C";"Østre Nordfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0121020700-C";"0121020700-C";"Heslevigen";"Agder";"Agder";NA;NA
"NO0101020400-3-C";"0101020400-3-C";"Mossesundet-ytre";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0120010502-2-C";"0120010502-2-C";"Avreidkilen";"Agder";"Agder";NA;NA
"NO0110021102-C";"0110021102-C";"Kjølebrønnskilen";"Buskerud";"Vest-Viken";NA;NA
"NO0121020100-C";"0121020100-C";"Blindleia - Nesefjorden";"Agder";"Agder";NA;NA
"NO0110010703-C";"0110010703-C";"Voldsfjorden";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0110010401-C";"0110010401-C";"Ønna";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0120010101-1-C";"0120010101-1-C";"Søndeledfjorden";"Agder";"Agder";"Mesohalin (5 - 18)";NA
"NO0121010300-C";"0121010300-C";"Kaldvellfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0110010600-C";"0110010600-C";"Eidangerfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101020400-2-C";"0101020400-2-C";"Mossesundet- indre";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0240000600-C";"0240000600-C";"Nesvågen";"Rogaland";"Rogaland";NA;NA
"NO0130000102-2-C";"0130000102-2-C";"Kvåsefjorden-ytre";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0101030101-2-C";"0101030101-2-C";"Kanalen";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0101010405-C";"0101010405-C";"Østerelva";"Østfold";"Glomma";"Skagerak (5 - 25)";"S5"
"NO0110000035-C";"0110000035-C";"Skrurenna";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0110020600-C";"0110020600-C";"Oterøyfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0240000400-C";"0240000400-C";"Rekefjord";"Rogaland";"Rogaland";NA;NA
"NO0121000033-C";"0121000033-C";"Ramsøysund";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0132010100-C";"0132010100-C";"Mannefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000034-1-C";"0110000034-1-C";"Såsteinflaket - Steinrenna";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0110000033-2-C";"0110000033-2-C";"Langesundsbukta - Rognsfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0101010203-C";"0101010203-C";"Iddefjorden-ytre";"Østfold";"Glomma";"Mesohalin (5 - 18)";NA
"NO0110021300-C";"0110021300-C";"Kalstadkilen";"Buskerud";"Vest-Viken";NA;NA
"NO0110000702-C";"0110000702-C";"Haslumkilen";"Agder";"Agder";NA;NA
"NO0110010701-C";"0110010701-C";"Frierfjorden";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0132010201-C";"0132010201-C";"Skogsfjord-indre";"Agder";"Agder";NA;NA
"NO0121010500-2-C";"0121010500-2-C";"Skallefjorden";"Agder";"Agder";NA;NA
"NO0132030300-C";"0132030300-C";"Syrdalsfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0240000500-C";"0240000500-C";"Nordfjorden";"Rogaland";"Rogaland";NA;NA
"NO0131010200-C";"0131010200-C";"Høllefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120010101-2-C";"0120010101-2-C";"Østre Nordfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0201011200-C";"0201011200-C";"Helvikfjorden";"Agder";"Agder";NA;NA
"NO0120000031-2-C";"0120000031-2-C";"Gåsholmen - Kalvøya";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0120030100-C";"0120030100-C";"Flosterfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0120000031-3-C";"0120000031-3-C";"Sandøyfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0132030100-C";"0132030100-C";"Tjømsvågen";"Agder";"Agder";NA;NA
"NO0101010402-C";"0101010402-C";"Tosekilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0131010100-1-C";"0131010100-1-C";"Hundsøyfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000701-C";"0110000701-C";"Stølefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120000031-1-C";"0120000031-1-C";"Sildodden - Flostaøya";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0101020102-2-C";"0101020102-2-C";"Risholmsundet";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0121000200-C";"0121000200-C";"Vikkilen";"Agder";"Agder";NA;NA
"NO0121000300-3-C";"0121000300-3-C";"Grimstad";"Agder";"Agder";NA;NA
"NO0110021000-1-C";"0110021000-1-C";"Kragerøfjorden-ytre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0130010500-C";"0130010500-C";"Ålefjærfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0132010300-C";"0132010300-C";"Hillevågen";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000200-C";"0110000200-C";"Nevlunghavn - Havnebukta";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0130010400-1-C";"0130010400-1-C";"Topdalsfjorden-indre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0110010402-C";"0110010402-C";"Langangsfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0132030400-C";"0132030400-C";"Remefjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0101010407-C";"0101010407-C";"Asmalsundet";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
