"EUVannfore";"Vannforeko";"Vannfore_1";"Vannregion";"Vannregi_1";"Salinity";"Type"
"NO0110010500-C";"0110010500-C";"Ormefjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101021100-C";"0101021100-C";"Horten indre havn";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0131020201-C";"0131020201-C";"Buøysund-indre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201020100-1-C";"0201020100-1-C";"Listafjorden";"Agder";"Agder";"Euhalin (> 30)";"N2"
"NO0121000500-C";"0121000500-C";"Strandfjorden";"Agder";"Agder";NA;NA
"NO0110000038-1-C";"0110000038-1-C";"Melbyfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0201011100-C";"0201011100-C";"Drangsfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0110020400-C";"0110020400-C";"Soppekilen";"Buskerud";"Vest-Viken";NA;NA
"NO0101010201-C";"0101010201-C";"Iddefjorden-indre";"Østfold";"Glomma";"Skagerak (5 - 25)";"S5"
"NO0121000600-C";"0121000600-C";"Nørholmskilen";"Agder";"Agder";NA;NA
"NO0110000034-2-C";"0110000034-2-C";"Såsteinflaket";"Buskerud";"Vest-Viken";NA;NA
"NO0101010401-C";"0101010401-C";"Ramsøflaket - Østerelva";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0110020300-C";"0110020300-C";"Kjøpmannsfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101030102-2-C";"0101030102-2-C";"Tønsbergfjorden-ytre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0130000031-1-C";"0130000031-1-C";"Vestergapet-ytre";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0120020400-2-C";"0120020400-2-C";"Oksefjorden-indre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0132000030-C";"0132000030-C";"Mandal-Lindesnes";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0101010406-C";"0101010406-C";"Skjelsbusundet";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0110000036-C";"0110000036-C";"Jomfrulandsrenna";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0130010201-C";"0130010201-C";"Randøysund-ytre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0121020500-2-C";"0121020500-2-C";"Blindleia - Hellesund";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0101040200-1-C";"0101040200-1-C";"Sandefjordsfjorden-indre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101020104-C";"0101020104-C";"Krokstadfjorden";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0120030204-C";"0120030204-C";"Merdøfjorden - Havsøyfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0130010301-2-C";"0130010301-2-C";"Østergapet-indre";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0101010306-C";"0101010306-C";"Sandholmene";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0101010403-C";"0101010403-C";"Hunnebotn";"Østfold";"Glomma";"Skagerak (5 - 25)";"S5"
"NO0101020103-C";"0101020103-C";"Elingårdskilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0132030200-C";"0132030200-C";"Sniksfjorden";"Agder";"Agder";NA;NA
"NO0121000032-C";"0121000032-C";"Blindleia - Skagerak";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0121000300-1-C";"0121000300-1-C";"Grosfjorden-indre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0201011000-C";"0201011000-C";"Åptafjorden";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0201020301-C";"0201020301-C";"Fedafjord-indre";"Agder";"Agder";NA;NA
"NO0101020601-C";"0101020601-C";"Oslofjorden";"Østfold";"Glomma";"Skagerak (> 25)";"S2"
"NO0201010900-C";"0201010900-C";"Lyngdalsfjord-indre";"Agder";"Agder";"Mesohalin (5 - 18)";"N5"
"NO0201010700-1-C";"0201010700-1-C";"Indre Spindsfjorden - Håøysundet";"Agder";"Agder";"Euhalin (> 30)";"N3"
"NO0101020603-C";"0101020603-C";"Holmenfjorden";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0110020100-C";"0110020100-C";"Eksefjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0110000500-C";"0110000500-C";"Brevikstrandfjorden";"Buskerud";"Vest-Viken";NA;NA
"NO0121010200-C";"0121010200-C";"Vestre Bjørkesund - Sønningdalsu";"Agder";"Agder";NA;NA
"NO0101040200-2-C";"0101040200-2-C";"Sandefjordsfjorden-ytre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0120010300-4-C";"0120010300-4-C";"Østerfjorden";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0121010400-1-C";"0121010400-1-C";"Lillesandsfjord-Klingsundkilen";"Agder";"Agder";NA;NA
"NO0121010400-2-C";"0121010400-2-C";"Lillesandsfjord-ytre";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0120010300-1-C";"0120010300-1-C";"Kranfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120010300-3-C";"0120010300-3-C";"Søndeledfjord-ytre";"Agder";"Agder";NA;NA
"NO0101040400-3-C";"0101040400-3-C";"Viksfjorden indre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0120030500-2-C";"0120030500-2-C";"Sømskilen-Hasseltangen";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0120030500-1-C";"0120030500-1-C";"Nidelven-ytre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0101040400-4-C";"0101040400-4-C";"Viksfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
