"Vannforeko";"EQR";"Class"
"0101000030-1-C";0.8;"High"
"0101000030-2-C";1;"High"
"0101000031-C";0.54;"Mod"
"0101000032-4-C";0.701714285714286;"Good"
"0101010301-C";0.600666666666667;"Good"
"0101010305-C";0.546666666666667;"Mod"
"0101010401-C";0.822;"High"
"0101010405-C";0.432496569574812;"Mod"
"0101010408-C";0.63;"Good"
"0101020101-1-C";1;"High"
"0101020101-2-C";0.69;"Good"
"0101020104-C";0.5826666514;"Mod"
"0101020200-1-C";0.738990252073927;"Good"
"0101020200-2-C";1;"High"
"0101020300-2-C";0.49;"Mod"
"0101020400-2-C";0.697205208091609;"Good"
"0101020400-3-C";0.69;"Good"
"0101020500-C";0.713333333333333;"Good"
"0101020601-C";0.697333333333333;"Good"
"0101020602-C";0.217723625895093;"Poor"
"0101020701-5-C";0.575333333333333;"Mod"
"0101020702-1-C";0.701333333333333;"Good"
"0101020702-2-C";0.72;"Good"
"0101020801-C";0.59227736318186;"Mod"
"0101020900-C";0.735914534955598;"Good"
"0101021000-1-C";0.8;"High"
"0101030101-1-C";0.373718543163366;"Poor"
"0101030101-2-C";0;"Bad"
"0101030101-6-C";0.59;"Mod"
"0101030102-2-C";0.72;"Good"
"0101030300-C";0.74;"Good"
"0101030400-C";0.63;"Good"
"0101030700-C";0.581501099058605;"Mod"
"0101030800-C";0.254701549408186;"Poor"
"0101040100-C";0.650233602079636;"Good"
"0101040200-2-C";0.57;"Mod"
"0101040300-3-C";0.646666666666667;"Good"
"0101040300-4-C";0.397472086748381;"Poor"
"0101040400-2-C";0.29430604533769;"Poor"
