Region	Kvalitetselement	Indikator	Indicator	Match	MatchValue	NotUsed	Ref	HG	GM	MP	PB	Worst
S	Planteplankton	Klorofyll a	Chl	type	S1		2.3	3.5	7	11	20	NA
S	Planteplankton	Klorofyll a	Chl	type	S2		2	3	6	9	18	NA
S	Planteplankton	Klorofyll a	Chl	type	S3		2	3	6	9	18	NA
S	Planteplankton	Klorofyll a	Chl	type	S4	TRUE						
S	Planteplankton	Klorofyll a	Chl	type	S5	TRUE						
G	Planteplankton	Klorofyll a	Chl	type	G1		2	3	6	8	14	NA
G	Planteplankton	Klorofyll a	Chl	type	G2		1.7	2.5	5	8	16	NA
G	Planteplankton	Klorofyll a	Chl	type	G3		1.7	2.5	5	8	16	NA
G	Planteplankton	Klorofyll a	Chl	type	G4		2	2.6	4	6	12	NA
G	Planteplankton	Klorofyll a	Chl	type	G5	TRUE						
H	Planteplankton	Klorofyll a	Chl	type	H1		2	3	6	8	14	NA
H	Planteplankton	Klorofyll a	Chl	type	H2		1.7	2.5	5	8	16	NA
H	Planteplankton	Klorofyll a	Chl	type	H3		1.7	2.5	5	8	16	NA
H	Planteplankton	Klorofyll a	Chl	type	H4		2	2.6	4	6	12	NA
H	Planteplankton	Klorofyll a	Chl	type	H5	TRUE						
M	Planteplankton	Klorofyll a	Chl	type	M1		2	3	6	8	14	NA
M	Planteplankton	Klorofyll a	Chl	type	M2		1.7	2.5	5	8	16	NA
M	Planteplankton	Klorofyll a	Chl	type	M3		1.7	2.5	5	8	16	NA
M	Planteplankton	Klorofyll a	Chl	type	M4		2	2.6	4	6	12	NA
M	Planteplankton	Klorofyll a	Chl	type	M5	TRUE						
N	Planteplankton	Klorofyll a	Chl	type	N1		2	3	6	8	14	NA
N	Planteplankton	Klorofyll a	Chl	type	N2		1.7	2.5	5	8	16	NA
N	Planteplankton	Klorofyll a	Chl	type	N3		1.7	2.5	5	8	16	NA
N	Planteplankton	Klorofyll a	Chl	type	N4		2	2.6	4	6	12	NA
N	Planteplankton	Klorofyll a	Chl	type	N5	TRUE						
B	Planteplankton	Klorofyll a	Chl	type	B1		1.9	2.8	5.5	8	12	NA
B	Planteplankton	Klorofyll a	Chl	type	B2	TRUE						
B	Planteplankton	Klorofyll a	Chl	type	B3		1	1.5	3	6	10	NA
B	Planteplankton	Klorofyll a	Chl	type	B4		0.9	1.2	2	3	6	NA
B	Planteplankton	Klorofyll a	Chl	type	B5							
HM	Makroalger	% andel opportunister			1							
HM	Makroalger	% andel opportunister			2							
HM	Makroalger	% andel opportunister			3							
HM	Makroalger	% andel opportunister			4							
HM	Makroalger	% andel opportunister			5							
HM	Makroalger	% antall brunalger			1							
HM	Makroalger	% antall brunalger			2							
HM	Makroalger	% antall brunalger			3							
HM	Makroalger	% antall brunalger			4							
HM	Makroalger	% antall brunalger			5							
HM	Makroalger	% antall grønnalger			1							
HM	Makroalger	% antall grønnalger			2							
HM	Makroalger	% antall grønnalger			3							
HM	Makroalger	% antall grønnalger			4							
HM	Makroalger	% antall grønnalger			5							
HM	Makroalger	% antall rødalger			1							
HM	Makroalger	% antall rødalger			2							
HM	Makroalger	% antall rødalger			3							
HM	Makroalger	% antall rødalger			4							
HM	Makroalger	% antall rødalger			5							
HM	Makroalger	ESG I/ESG II			1							
HM	Makroalger	ESG I/ESG II			2							
HM	Makroalger	ESG I/ESG II			3							
HM	Makroalger	ESG I/ESG II			4							
HM	Makroalger	ESG I/ESG II			5							
HM	Makroalger	Normalisert artsantall			1							
HM	Makroalger	Normalisert artsantall			2							
HM	Makroalger	Normalisert artsantall			3							
HM	Makroalger	Normalisert artsantall			4							
HM	Makroalger	Normalisert artsantall			5							
HM	Makroalger	Sum forekomst brunalger			1							
HM	Makroalger	Sum forekomst brunalger			2							
HM	Makroalger	Sum forekomst brunalger			3							
HM	Makroalger	Sum forekomst brunalger			4							
HM	Makroalger	Sum forekomst brunalger			5							
HM	Makroalger	Sum forekomst grønnalger			1							
HM	Makroalger	Sum forekomst grønnalger			2							
HM	Makroalger	Sum forekomst grønnalger			3							
HM	Makroalger	Sum forekomst grønnalger			4							
HM	Makroalger	Sum forekomst grønnalger			5							
S	Makroalger	MSMDI (Nedre voksegrense) - EQR			1							
S	Makroalger	MSMDI (Nedre voksegrense) - EQR			2							
S	Makroalger	MSMDI (Nedre voksegrense) - EQR			3							
S	Makroalger	MSMDI (Nedre voksegrense) - EQR			4							
S	Makroalger	MSMDI (Nedre voksegrense) - EQR			5							
