Region	Kvalitetselement	Indikator	Indicator	Match	MatchValue	NotUsed	Ref	HG	GM	MP	PB	Worst
	Angiospermer	Nedre voksegrense (EQR)			Alle							
	Bløtfunnsfauna	NQI			Alle							
	Bløtfunnsfauna	H'			Alle							
	Bløtfunnsfauna	ES100			Alle							
	Bløtfunnsfauna	ISI2012			Alle							
	Bløtfunnsfauna	NSI			Alle							
	Bløtfunnsfauna	DI			Alle							
	Bløtfunnsfauna	TOC			Alle							
	Fysisk-kjemiske	Total fosfor (µg P/l), sommer	TP_summer	SalinityClass	>18		NA	11.5	16	29	60	NA
	Fysisk-kjemiske	Total fosfor (µg P/l), sommer	TP_summer	SalinityClass	5		NA	8	12	22	53	NA
	Fysisk-kjemiske	Total fosfor (µg P/l), sommer	TP_summer	SalinityClass	18		NA	11.5	15.5	28	59	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), sommer	PO4_summer	SalinityClass	>18		NA	3.5	7	16	50	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), sommer	PO4_summer	SalinityClass	5		NA	2	3.5	7.5	21	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), sommer	PO4_summer	SalinityClass	18		NA	3.5	6.5	15	46	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), sommer	TN_summer	SalinityClass	>18		NA	250	330	500	800	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), sommer	TN_summer	SalinityClass	5		NA	250	383	538	800	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), sommer	TN_summer	SalinityClass	18		NA	250	337	505	800	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), sommer	NO3_summer	SalinityClass	>18		NA	12	23	65	250	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), sommer	NO3_summer	SalinityClass	5		NA	97	156	223	363	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), sommer	NO3_summer	SalinityClass	18		NA	24	41	86	265	NA
	Fysisk-kjemiske	Ammonium-nitrogen (µg N/l), sommer	NH4_summer	SalinityClass	>18		NA	19	50	200	325	NA
	Fysisk-kjemiske	Siktdyp (m), sommer		SalinityClass	>18		NA	7.5	6	4.5	2.5	NA
	Fysisk-kjemiske	Siktdyp (m), sommer		SalinityClass	5		NA	7	4.5	2.5	1.5	NA
	Fysisk-kjemiske	Siktdyp (m), sommer		SalinityClass	18		NA	7.5	6	4	2.5	NA
	Fysisk-kjemiske	Total fosfor (µg P/l), vinter	TP_winter	SalinityClass	>18		NA	20	25	42	60	NA
	Fysisk-kjemiske	Total fosfor (µg P/l), vinter	TP_winter	SalinityClass	5		NA	10.5	14.5	26	53	NA
	Fysisk-kjemiske	Total fosfor (µg P/l), vinter	TP_winter	SalinityClass	18		NA	20	24	40	59	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), vinter	PO4_winter	SalinityClass	>18		NA	14.5	21	34	50	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), vinter	PO4_winter	SalinityClass	5		NA	7	9	16	31	NA
	Fysisk-kjemiske	Fosfat-fosfor (µg P/l), vinter	PO4_winter	SalinityClass	18		NA	14.5	19	32	48	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), vinter	TN_winter	SalinityClass	>18		NA	291	380	560	800	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), vinter	TN_winter	SalinityClass	5		NA	261	385	553	800	NA
	Fysisk-kjemiske	Total nitrogen (µg N/l), vinter	TN_winter	SalinityClass	18		NA	291	398	559	800	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), vinter	NO3_winter	SalinityClass	>18		NA	97	125	225	350	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), vinter	NO3_winter	SalinityClass	5		NA	143	226	326	478	NA
	Fysisk-kjemiske	Nitrat-nitrogen (µg N/l), vinter	NO3_winter	SalinityClass	18		NA	97	139	239	367	NA
	Fysisk-kjemiske	Ammonium-nitrogen (µg N/l), vinter	NH4_winter	SalinityClass	>18		NA	33	75	155	325	NA
	Fysisk-kjemiske	Oksygen (ml O2/l)	DO_bot	SalinityClass	>18		NA	4.5	3.5	2.5	1.5	NA
	Fysisk-kjemiske	Oksygen metning (%)		SalinityClass	>18		NA	65	50	35	20	NA
