"version";"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting";"sup_sommer";"sup_vinter";"sup_org"
"2018";"0101010303-C";"2017-2019";"baseline";0.596974693091528;NA;0.596974693091528;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010303-C";"2017-2019";"Pristine";0.692392459146979;NA;0.692392459146979;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010303-C";"2017-2019";"Scenario A";0.619275011764501;NA;0.619275011764501;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010303-C";"2017-2019";"Scenario B";0.621392878037068;NA;0.621392878037068;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010304-C";"2017-2019";"baseline";0.582946340243022;NA;0.582946340243022;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010304-C";"2017-2019";"Pristine";0.716660638650258;NA;0.716660638650258;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010304-C";"2017-2019";"Scenario A";0.604794859886169;NA;0.604794859886169;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010304-C";"2017-2019";"Scenario B";0.629363894462585;NA;0.629363894462585;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010305-C";"2017-2019";"baseline";0.615777213279489;NA;0.615777213279489;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010305-C";"2017-2019";"Pristine";0.71508405727984;NA;0.71508405727984;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010305-C";"2017-2019";"Scenario A";0.651574215239071;NA;0.651574215239071;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010305-C";"2017-2019";"Scenario B";0.650734065646001;NA;0.650734065646001;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101010306-C";"2017-2019";"baseline";0.560015808693614;NA;0.560015808693614;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010306-C";"2017-2019";"Pristine";0.605668530047238;NA;0.605668530047238;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010306-C";"2017-2019";"Scenario A";0.580772149710404;NA;0.580772149710404;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010306-C";"2017-2019";"Scenario B";0.583713475274009;NA;0.583713475274009;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010401-C";"2017-2019";"baseline";0.519851109275369;NA;0.519851109275369;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010401-C";"2017-2019";"Pristine";0.607975861484511;NA;0.607975861484511;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010401-C";"2017-2019";"Scenario A";0.546494463820235;NA;0.546494463820235;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
