"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101010301-C";"2017-2019";"baseline";0.692247056287687;0.67812123649017;0.692247056287687;"Good";"Planteplankton";"NO3-N vinter"
"0101010301-C";"2017-2019";"DIN100pc";0.735763420793571;0.821990536543186;0.735763420793571;"Good";"Planteplankton";"Siktdyp"
"0101010301-C";"2017-2019";"DINP100pc";0.73706131205919;0.835300918266552;0.73706131205919;"Good";"Planteplankton";"Siktdyp"
"0101010301-C";"2017-2019";"DINTSM100pc";0.739852824146342;0.850157394589698;0.739852824146342;"Good";"Planteplankton";"Oksygen"
"0101010301-C";"2017-2019";"NTSM100pc";0.754590687279809;0.85321528317167;0.754590687279809;"Good";"Planteplankton";"Oksygen"
"0101010301-C";"2017-2019";"Scenario A";0.712885796687668;0.712027887416594;0.712885796687668;"Good";"Planteplankton";"NO3-N vinter"
"0101010301-C";"2017-2019";"Scenario B";0.717987346113464;0.74066681623457;0.717987346113464;"Good";"Planteplankton";"NO3-N vinter"
"0101010302-C";"2017-2019";"baseline";0.710185801445675;0.587476518924084;0.587476518924084;"Mod";"Planteplankton";"NO3-N vinter"
"0101010302-C";"2017-2019";"DIN100pc";0.759458601610389;0.799089813549998;0.759458601610389;"Good";"Planteplankton";"Siktdyp"
"0101010302-C";"2017-2019";"DINP100pc";0.761856892293085;0.826210805840041;0.761856892293085;"Good";"Planteplankton";"Siktdyp"
"0101010302-C";"2017-2019";"DINTSM100pc";0.76481253675643;0.829992422266468;0.76481253675643;"Good";"Planteplankton";"TP vinter"
"0101010302-C";"2017-2019";"NTSM100pc";0.775643196234808;0.83171322405531;0.775643196234808;"Good";"Planteplankton";"TP vinter"
"0101010302-C";"2017-2019";"Scenario A";0.720240762420635;0.619318860974076;0.720240762420635;"Good";"Planteplankton";"NO3-N vinter"
"0101010302-C";"2017-2019";"Scenario B";0.731076566458804;0.653512478225293;0.731076566458804;"Good";"Planteplankton";"NO3-N vinter"
"0101010303-C";"2017-2019";"baseline";0.693588535045989;0.661545811788134;0.693588535045989;"Good";"Planteplankton";"NO3-N vinter"
