"WB";"Indicator";"Period";"Value";"Type";"Salinity";"Kvalitetselement";"Indikator";"Ref";"HG";"GM";"MP";"PB";"Worst";"EQR";"Status";"StatusVN";"EQR_VN";"ParameterVN"
"0101000030-1-C";"NQI1";"2017";0.6366754804152;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.6366754804152;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-1-C";"NQI1";"2018";0.671108820699429;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.671108820699429;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-1-C";"NQI1";"2019";0.653556621361834;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.653556621361834;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-1-C";"NQI1";"2017-2019";0.653780307492154;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.653780307492154;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-1-C";"Secchi";"2017";11.4824749765089;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-1-C";"Secchi";"2018";12.6074113556114;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-1-C";"Secchi";"2019";11.6738252525889;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-1-C";"Secchi";"2017-2019";11.9212371800651;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-1-C";"TN_summer";"2017";168.301703719814;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_summer";"2018";165.223849538911;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
