"param";"min";"max"
"Chl";0.222218334674835;7.63866329193115
"Chl_summer";0;8.07413768768311
"DO_bot";0.0831022709608078;5.67951250076294
"MSMDI";0.412887831528982;0.863876422246297
"NH4_summer";-2.70142764097887e-19;70.7383880615234
"NH4_winter";9.30692863464355;84.7336959838867
"NO3_summer";0.489618182182312;328.804016113281
"NO3_winter";35.605167388916;682.720947265625
"PO4_summer";1.72494149208069;6.53868341445923
"PO4_winter";8.68330764770508;18.7095699310303
"Secchi";1.55162358283997;7.69200086593628
"TN_summer";75.0734024047852;508.270050048828
"TN_winter";118.885299682617;671.096008300781
"TP_summer";6.70482063293457;23.6916580200195
"TP_winter";13.8197774887085;45.6793937683105
