EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0101020300-C;0101020300-2-C;Breiangen-øst
NO0401020100-3-C;0401020100-3-C;Stangnes
NO0401020100-4-C;0401020100-4-C;Vågsfjorden
NO0261040300-1-C;0261040300-1-C;Sævråsvågen
NO0261040300-2-C;0261040300-2-C;Austfjorden
NO0260010501-5-C;0260010501-5-C;Innværfjorden
NO0260010501-6-C;0260010501-6-C;Stokksund
NO0402021300-1-C;0402021300-1-C;Laksvatnbukt indre
NO0402021300-2-C;0402021300-2-C;Balsfjorden
NO0402020500-1-C;0402020500-1-C;Rakkneskjosen
NO0402020500-2-C;0402020500-2-C;Kvalsundet
NO0120020502-C;0120020502-C;Kvåstadkilen
NO0360020100-3-C;0360020100-3-C;Sørbotnet
NO0401010701-C;0401010701-C;Indre Selfjorden
NO0280010400-1-C;0280010400-1-C;Gulafjorden - Pøyla
NO0280010400-2-C;0280010400-2-C;Gulafjorden
NO0301010501-5-C;0301010501-5-C;Hallevatnet
NO0301010501-6-C;0301010501-6-C;Hallefjorden-Rovdefjorden
NO0401020100-1-C;0401020100-1-C;Breivik - Kilbotn
NO0401020702-4-C;0401020702-4-C;Grovfjorden-ytre
NO0401020702-3-C;0401020702-3-C;Grov havn
NO0303020100-3-C;0303020100-3-C;Nervågen
NO0303020100-4-C;0303020100-4-C;Øvervågen
NO0401010100-3-C;0401010100-3-C;Skrollsvik
NO0303011000-2-C;0303011000-2-C;Karihavet-Langsetvågen
NO0403040800-2-C;0403040800-2-C;Jøkelfjorden
NO0303011000-1-C;0303011000-1-C;Karihavet
NO0403040104-1-C;0403040104-1-C;Kvænangen Haukøy
NO0403040104-3-C;0403040104-3-C;Kvænangen Skorpa - Spildra
NO0403040104-4-C;0403040104-4-C;Kvænangen - Ytre
NO0403040800-1-C;0403040800-1-C;Isfjorden
NO0301022000-2-C;0301022000-2-C;Valderhaugfjorden
NO0301022000-1-C;0301022000-1-C;Valderhaugfjorden ved Ålesund
NO0363041403-1-C;0363041403-1-C;Sennesvika
NO0363041403-2-C;0363041403-2-C;Sennesvika
NO0362041200-1-C;0362041200-1-C;Måøyleia
NO0362041200-2-C;0362041200-2-C;Måøyleia
NO0260030100-3-C;0260030100-3-C;Bekkjarviksundet
NO0260030100-4-C;0260030100-4-C;Bekkjarviksundet
NO0364050304-1-C;0364050304-1-C;Ulvågsfjorden 
NO0364050304-2-C;0364050304-2-C;Ulvågsfjorden
NO0365031000-2-C;0365031000-2-C;Eidspollen
NO0363042603-6-C;0363042603-6-C;Mjåsundet
NO0363000032-2-C;0363000032-2-C;Laukvika
NO0362020100-2-C;0362020100-2-C;Nordåsværfjorden - Tomfjorden
NO0362000030-1-C;0362000030-1-C;Træna havn sør
NO0362000030-2-C;0362000030-2-C;Trænfjorden
NO0261010702-4-C;0261010702-4-C;Bjørndalspollen
NO0261040101-2-C;0261040101-2-C;Knarrviksvika
NO0363042603-5-C;0363042603-5-C;Mjåsundet
NO0363000032-1-C;0363000032-1-C;Vågan
NO0365031000-1-C;0365031000-1-C;Eidspollen
NO0261040101-7-C;0261040101-7-C;Sløvåg
NO0363010300-4-C;0363010300-4-C;Sørarnøy Havn
NO0403011100-1-C;0403011100-1-C;Torsvåg havn
NO0403011100-2-C;0403011100-2-C;Råsa
NO0362040200-1-C;0362040200-1-C;Bolga Havn
NO0362040200-2-C;0362040200-2-C;Bolgfjorden
NO0362020100-1-C;0362020100-1-C;Lovund Havn
NO0403040401-2-C;0403040401-2-C;Reisafjorden-indre
NO0403040401-1-C;0403040401-1-C;Reisaelva-utløp
NO0363010300-6-C;0363010300-6-C;Våg Havn
NO0363010300-7-C;0363010300-7-C;Sørarnøya - Nordarnøya
NO0362041000-3-C;0362041000-3-C;Reipå(Kobbsteinan)
NO0362041000-4-C;0362041000-4-C;Stigsundet
NO0363030602-5-C;0363030602-5-C;Sørfolda-ytre
NO0261010702-3-C;0261010702-3-C;Grimstadfjorden
NO0261010702-1-C;0261010702-1-C;Dolviken
NO0363011000-1-C;0363011000-1-C;Ertenvåg
NO0363011000-2-C;0363011000-2-C;Nordfjorden
NO0363010400-1-C;0363010400-1-C;Storvik havn i Gildeskål
NO0363010400-2-C;0363010400-2-C;Storviken
NO0401010403-1-C;0401010403-1-C;Kvæfjorden indre
NO0401010403-2-C;0401010403-2-C;Gullesfjorden-ytre 
NO0363031300-3-C;0363031300-3-C;Nordfold havn
NO0363031300-4-C;0363031300-4-C;Nordfolda
NO0363030602-4-C;0363030602-4-C;Styrkesnes-indre
NO0403020400-2-C;0403020400-2-C;Skorøysundet
NO0363040700-4-C;0363040700-4-C;Ramberg havn
NO0363040700-6-C;0363040700-6-C;Fredvang
NO0363040700-7-C;0363040700-7-C;Torsfjorden-ytre
NO0363040200-3-C;0363040200-3-C;Hamnøy
NO0363040200-4-C;0363040200-4-C;Kjerkfjorden-ytre
NO0363041102-1-C;0363041102-1-C;Napp
NO0363041102-2-C;0363041102-2-C;Nappstraumen
NO0363040600-3-C;0363040600-3-C;Sundvågen
NO0363040600-4-C;0363040600-4-C;Kåkersundet
NO0403020400-1-C;0403020400-1-C;Kristoffervalen
NO0402020401-4-C;0402020401-4-C;Kaldfjorden- ytre midtre
NO0261020100-1-C;0261020100-1-C;Arnavågen
NO0261020100-2-C;0261020100-2-C;Sørfjorden
NO0402020401-3-C;0402020401-3-C;Kaldfjorden- indre midtre
NO0401010502-6-C;0401010502-6-C;Bygdesundet indre
NO0401010502-5-C;0401010502-5-C;Øysundet
NO0401010502-3-C;0401010502-3-C;Bygdesundet ytre
NO0363050300-5-C;0363050300-5-C;Sørlandsvågen
NO0363050300-6-C;0363050300-6-C;Teisthammeren
NO0363050300-7-C;0363050300-7-C;Værøy-indre
NO0402021400-2-C;0402021400-2-C;Ramfjorden ytre
NO0281010600-1-C;0281010600-1-C;Botnavika - Indre Eikefjorden
NO0281010600-2-C;0281010600-2-C;Eikefjorden
NO0365030400-1-C;0365030400-1-C;Breistrand
NO0365030400-2-C;0365030400-2-C;Børrøyfjorden
NO0365000031-6-C;0365000031-6-C;Vesterålen
NO0365000031-7-C;0365000031-7-C;Nyksund
NO0363050300-4-C;0363050300-4-C;Røssnesvågen
NO0403020601-2-C;0403020601-2-C;Sørfjorden-indre
NO0402021400-1-C;0402021400-1-C;Ramfjorden indre
NO0362020201-1-C;0362020201-1-C;Sjona-indre
NO0362020201-2-C;0362020201-2-C;Sjona-indre
NO0403020601-1-C;0403020601-1-C;Sjøvassbotn
NO0401011700-1-C;0401011700-1-C;Hopsvatnet i Senjahopen
NO0401011700-2-C;0401011700-2-C;Mefjorden
NO0401010800-1-C;0401010800-1-C;Veidemannsfjorden
NO0401010800-2-C;0401010800-2-C;Sifjorden
NO0361030700-2-C;0361030700-2-C;Halsfjorden
NO0401011202-2-C;0401011202-2-C;Lavollsfjorden
NO0260020400-C;0260020400-C;Etnefjorden
NO0423011700-C;0423011700-C;Gulgofjorden
NO0424020100-12-C;0424020100-12-C;Ekkerøy yttersida
NO0424020100-14-C;0424020100-14-C;Skittenelv deponi
NO0343000030-4-C;0343000030-4-C;Leknessjøen
NO0343000030-3-C;0343000030-3-C;Sklinna
NO0424030700-1-C;0424030700-1-C;Bøkfjorden-indre
NO0424030700-2-C;0424030700-2-C;Prestøya industriområde
NO0422010900-3-C;0422010900-3-C;Skarsvåg / grovavfallsdeponi
NO0422010900-4-C;0422010900-4-C;Risfjorden
NO0421030200-3-C;0421030200-3-C;Breidsundet
NO0422010100-4-C;0422010100-4-C;Innerbukta/ Repvåg
NO0422010300-7-C;0422010300-7-C;Even Hansen bukta
NO0422010300-8-C;0422010300-8-C;Honningsvåg havn
NO0420031500-4-C;0420031500-4-C;Kvalsundet
NO0420031600-3-C;0420031600-3-C;Grøtnes avfallsdeponi
NO0420031600-6-C;0420031600-6-C;Straumen
NO0422020200-5-C;0422020200-5-C;Veidnesholmen
NO0422020200-6-C;0422020200-6-C;Lille Porsanger
NO0420030200-5-C;0420030200-5-C;Stjernsundet deponi
NO0420030200-7-C;0420030200-7-C;Stjernsundet 
NO0421030200-8-C;0421030200-8-C;Breidsundet
NO0320010202-7-C;0320010202-7-C;Hamnabukta
NO0320050501-1-C;0320050501-1-C;Grefsnesvågen
NO0320050501-4-C;0320050501-4-C;Håvika
NO0320050501-3-C;0320050501-3-C;Frøyfjorden-ytre
NO0420020100-8-C;0420020100-8-C;Rypklubben
NO0420020100-10-C;0420020100-10-C;Sørøysundet
NO0420031500-2-C;0420031500-2-C;Kvalsundet / Beritsfjord deponi
NO0320030300-11-C;0320030300-11-C;Åstfjorden, ytre del
NO0320010201-15-C;0320010201-15-C;Trondheimsleia - Leksa
NO0401030100-3-C;0401030100-3-C;Gisundet Finnsnes - Gibostad
NO0401030100-6-C;0401030100-6-C;Gisundet ved Gibostad
NO0401030100-5-C;0401030100-5-C;Gisundet nordlig del
NO0320030300-6-C;0320030300-6-C;Mjønesneset småbåthavn
NO0320030300-12-C;0320030300-12-C;Våganvågen
NO0360020600-4-C;0360020600-4-C;Brønnøysundet sør
NO0320010201-13-C;0320010201-13-C;Bystingsundet
NO0320010201-16-C;0320010201-16-C;Vingbukta og Innervågen
NO0201000030-2-C;0201000030-2-C;Lindesnes - Lista
NO0201000030-3-C;0201000030-3-C;Lindesnes - Lista
NO0422021200-7-C;0422021200-7-C;Vevikneset
NO0422021200-3-C;0422021200-3-C;Mehamnsfjorden
NO0360020600-5-C;0360020600-5-C;Brønnøysundet nord
NO0364040300-4-C;0364040300-4-C;Tjeldsundet-ytre
NO0424020100-10-C;0424020100-10-C;Bugøynes havn
NO0242010401-1-C;0242010401-1-C;Dysjalandsvågen
NO0242010401-2-C;0242010401-2-C;Kvitsøyfjorden
NO0423000030-7-C;0423000030-7-C;Flintodden
NO0363020700-3-C;0363020700-3-C;Saltdalsfjorden
NO0363000030-13-C;0363000030-13-C;Buøy Stamsund havn
NO0363000030-12-C;0363000030-12-C;Vestfjorden-midtre
NO0365000030-5-C;0365000030-5-C;Steinesjøen
NO0365000030-4-C;0365000030-4-C;Vesterålsfjorden
NO0364040300-5-C;0364040300-5-C;Lødingen Havn
NO0403040500-1-C;0403040500-1-C;Straumfjorden
NO0320010201-10-C;0320010201-10-C;Abelvikvågen småbåthavn
NO0423020200-7-C;0423020200-7-C;Neptunbukt - Foma
NO0423020200-8-C;0423020200-8-C;Neptunbukta
