EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0101030101-5-C;0101030101-5-C;Vestfjorden-nordre
NO0101030101-6-C;0101030101-6-C;Vestfjorden-søndre
NO0343010200-5-C;0343010200-5-C;Haug i Lekafjorden
NO0343010200-6-C;0343010200-6-C;Lekafjorden
NO0320040500-6-C;0320040500-6-C;Strømmen i Rissa
NO0341030202-1-C;0341030202-1-C;Ottersøyvågen
NO0342010102-5-C;0342010102-5-C;Landskjæret
NO0342010102-4-C;0342010102-4-C;Eiterfjorden-indre
NO0343010200-3-C;0343010200-3-C;Skei
NO0322030100-2-C;0322030100-2-C;Vingsand
NO0320050100-7-C;0320050100-7-C;Ansnes havn
NO0321000031-13-C;0321000031-13-C;Kuøya
NO0320000030-3-C;0320000030-3-C;Titran havneområde
NO0321000031-14-C;0321000031-14-C;Hammarvika
NO0321000031-21-C;0321000031-21-C;Bukta Inntian
NO0321000031-28-C;0321000031-28-C;Galten
NO0321040201-3-C;0321040201-3-C;Nesvalen
NO0321040201-4-C;0321040201-4-C;Gnaget
NO0321040300-3-C;0321040300-3-C;Roan havn
NO0321040300-2-C;0321040300-2-C;Berfjorden
NO0322000030-2-C;0322000030-2-C;Skjervøyvågen
NO0322000030-4-C;0322000030-4-C;Sandviksberget havn
NO0321030500-4-C;0321030500-4-C;Hosensundet
NO0321000033-3-C;0321000033-3-C;Kiransundet
NO0321000033-4-C;0321000033-4-C;Frohavet - Flesafjorden
NO0321040201-2-C;0321040201-2-C;Kråkøysundet
NO0420030501-1-C;0420030501-1-C;Kåfjord - indre
NO0281010100-1-C;0281010100-1-C;Stavfjorden-indre
NO0281010100-2-C;0281010100-2-C;Stavfjorden-ytre
NO0321000033-1-C;0321000033-1-C;Linesøya havn
NO0362010101-1-C;0362010101-1-C;Stigfjorden
NO0420030600-3-C;0420030600-3-C;Russeluft
NO0420030300-5-C;0420030300-5-C;Talvikbukta
NO0420030300-6-C;0420030300-6-C;Altafjorden-indre
NO0420000030-2-C;0420000030-2-C;Mevær havn - Loppa øy
NO0420030501-2-C;0420030501-2-C;Kåfjordbotn
NO0341030202-4-C;0341030202-4-C;Rørviksundet
NO0342010101-1-C;0342010101-1-C;Gjerdingsjøen
NO0342010101-2-C;0342010101-2-C;Eiterfjorden-ytre
NO0343000030-2-C;0343000030-2-C;Nord-Guttvik
NO0343010200-2-C;0343010200-2-C;Gutvikvågen
NO0362010101-2-C;0362010101-2-C;Sundstraumen
NO0341030202-3-C;0341030202-3-C;Rørvik havn
NO0340000030-4-C;0340000030-4-C;Folda-sør
NO0341030100-1-C;0341030100-1-C;Arnøy havn
NO0341030100-2-C;0341030100-2-C;Arnøyfjorden
NO0340020502-2-C;0340020502-2-C;Utvorda havn
NO0340020502-1-C;0340020502-1-C;Mursteinfjorden
NO0340020501-2-C;0340020501-2-C;Sitter
NO0340020501-1-C;0340020501-1-C;Knottin
NO0340020301-1-C;0340020301-1-C;Kvernøya havn
NO0340020301-2-C;0340020301-2-C;Døløyråsa
NO0340020100-2-C;0340020100-2-C;Viksfjorden -indre del
NO0340020100-1-C;0340020100-1-C;Viksfjorden
NO0340000030-2-C;0340000030-2-C;Småværet i Flatanger
NO0340000030-3-C;0340000030-3-C;Hasvåg
NO0341000030-6-C;0341000030-6-C;Abelvær vest
NO0341000030-5-C;0341000030-5-C;Folda-nord
NO0341000030-4-C;0341000030-4-C;Abelvær øst
NO0242010103-2-C;0242010103-2-C;Risavika
NO0321000031-22-C;0321000031-22-C;Siholmen syd
NO0321000031-25-C;0321000031-25-C;Siholmen nord
NO0321000031-26-C;0321000031-26-C;Ervika
NO0424020100-7-C;0424020100-7-C;Vadsø havn øst
NO0242010103-1-C;0242010103-1-C;Tananger havn
NO0320000030-1-C;0320000030-1-C;Helsøysundet
NO0320010202-3-C;0320010202-3-C;Balsnesbugen
NO0321000031-17-C;0321000031-17-C;Hammarvågen
NO0320011100-5-C;0320011100-5-C;Børøysundet nord
NO0320010201-8-C;0320010201-8-C;Hestvika
NO0320050502-5-C;0320050502-5-C;Kjerringvåg
NO0320040200-1-C;0320040200-1-C;Høybakken havn
NO0320040200-4-C;0320040200-4-C;Stjørnfjorden
NO0321010400-1-C;0321010400-1-C;Dypfestvågen
NO0321010400-4-C;0321010400-4-C;Islandsvika
NO0321010400-3-C;0321010400-3-C;Tarvafjorden
NO0321030100-1-C;0321030100-1-C;Kabelvågen i Lauvøyfjorden
NO0321030100-3-C;0321030100-3-C;Barøyvågen
NO0320010201-3-C;0320010201-3-C;Sør-Leksa havn
NO0320011100-3-C;0320011100-3-C;Kråkvågfjorden
NO0320011100-1-C;0320011100-1-C;Kråkvågfjorden
NO0320011100-2-C;0320011100-2-C;Kråkvåg havn
NO0321010100-2-C;0321010100-2-C;Garthavna
NO0321010100-1-C;0321010100-1-C;Grandvika
NO0321010300-4-C;0321010300-4-C;Uthaug havn
NO0321010300-2-C;0321010300-2-C;Bjugnfjorden
NO0320040100-1-C;0320040100-1-C;Brekstad havn
NO0321030500-2-C;0321030500-2-C;Ratvika
NO0321030600-5-C;0321030600-5-C;Flatholmsundet Stokkøya
NO0321030600-4-C;0321030600-4-C;Stokksund
NO0365000032-3-C;0365000032-3-C;Stø havn
NO0280031401-C;0280031401-C;Stongfjorden-indre
NO0420010200-1-C;0420010200-1-C;Sandland havn
NO0420010200-2-C;0420010200-2-C;Sandlandsfjorden
NO0420030401-4-C;0420030401-4-C;Langfjorden-indre
NO0420030401-2-C;0420030401-2-C;Langfjordbotn
NO0420030401-3-C;0420030401-3-C;Tappeluft
NO0420030300-4-C;0420030300-4-C;Hjemmeluft, Bossekop og Tollevika
NO0423000030-1-C;0423000030-1-C;Berlevåg indre havn
NO0420020100-2-C;0420020100-2-C;Trollvika
NO0303010100-4-C;0303010100-4-C;Lauvøyfjorden
NO0320010203-2-C;0320010203-2-C;Kjørsvikbugen
NO0424020100-4-C;0424020100-4-C;Kiberg
NO0420030600-2-C;0420030600-2-C;Rafsbotn
NO0301022300-2-C;0301022300-2-C;Roald hamn
NO0301022300-1-C;0301022300-1-C;Vigrafjorden
NO0420030200-1-C;0420030200-1-C;Lillebukta - Ytre Simavik
NO0303010100-3-C;0303010100-3-C;Vevangvågen
NO0420021202-1-C;0420021202-1-C;Vinnasundet
NO0241000031-2-C;0241000031-2-C;Ognabukta
NO0420021202-2-C;0420021202-2-C;Hønsebyfjorden - Njiŋŋevuotna
NO0301022200-1-C;0301022200-1-C;Ebbevika
NO0301022200-2-C;0301022200-2-C;Bjørnøysundet
NO0302011300-3-C;0302011300-3-C;Vestnesbukta
NO0302011300-4-C;0302011300-4-C;Romsdalsfjorden - Sekken
NO0241000031-1-C;0241000031-1-C;Sirevåg
NO0420030102-1-C;0420030102-1-C;Øksfjordbotn
NO0420030102-2-C;0420030102-2-C;Øksfjorden indre
NO0360010200-3-C;0360010200-3-C;Lone i Horsfjordvika
NO0360010200-4-C;0360010200-4-C;Horsfjordvika
NO0420030101-2-C;0420030101-2-C;Øksfjorden-midtre
NO0280020900-2-C;0280020900-2-C;Lærdalsfjorden-indre
NO0280020900-1-C;0280020900-1-C;Lærdalsfjorden-ytre
NO0280021000-2-C;0280021000-2-C;Årdalsfjorden-midtre
NO0101020701-6-C;0101020701-6-C;Bunnebotn
NO0424030500-5-C;0424030500-5-C;Bøkfjorden-midtre
NO0424030500-3-C;0424030500-3-C;Bøkfjorden-ytre
NO0280021000-1-C;0280021000-1-C;Årdalsfjorden-indre
NO0303011505-1-C;0303011505-1-C;Nekkstadfjorden
NO0101010202-1-C;0101010202-1-C;Iddefjorden hovedbasseng
NO0303010300-1-C;0303010300-1-C;Einsetvågen
NO0303010300-2-C;0303010300-2-C;Kjølfjorden
NO0303011505-2-C;0303011505-2-C;Baefjorden
NO0101010202-2-C;0101010202-2-C;Halden havnebasseng
NO0261030300-3-C;0261030300-3-C;Herdlefjorden - nordre
NO0321000032-2-C;0321000032-2-C;Lysøysundet
NO0302012300-2-C;0302012300-2-C;Nerbøvågen
NO0261030300-4-C;0261030300-4-C;Rosslandspollen
NO0320000031-24-C;0320000031-24-C;Kvistvågen/ Sjåstusundet
NO0320000031-22-C;0320000031-22-C;Frøyhavet - ytre
NO0320050502-3-C;0320050502-3-C;Husvågen
NO0303000032-2-C;0303000032-2-C;Skjølbergvågen
NO0303000032-8-C;0303000032-8-C;Klakkavågen
NO0303000032-11-C;0303000032-11-C;Aunvågen
NO0303000032-10-C;0303000032-10-C;Smølas nord- og vestside
NO0320000031-11-C;0320000031-11-C;Holasundet
NO0320000031-10-C;0320000031-10-C;Sjønhalssundet
NO0320000031-15-C;0320000031-15-C;Valavågen
NO0320000031-4-C;0320000031-4-C;Straulvågen
NO0320000031-7-C;0320000031-7-C;Andøystraumen/ Svinnholmstraumen
NO0320000031-13-C;0320000031-13-C;Nordskaga
NO0320000031-12-C;0320000031-12-C;Norddyrøya
NO0320050100-4-C;0320050100-4-C;Eidsvågen
NO0321000031-1-C;0321000031-1-C;Ulvan
NO0320010100-1-C;0320010100-1-C;Hernesfjorden/ Kjeøysund
NO0320010100-4-C;0320010100-4-C;Lydalsvågen/ Tungvågen
NO0320010202-2-C;0320010202-2-C;Sandstadsundet/ Kalvøya
NO0321030200-5-C;0321030200-5-C;Svalan
NO0321030600-1-C;0321030600-1-C;Lunnfjorden
NO0320050100-2-C;0320050100-2-C;Vågan
NO0301020200-2-C;0301020200-2-C;Liavågen
NO0321030200-3-C;0321030200-3-C;Kroksvågen
NO0320041000-10-C;0320041000-10-C;Stjørdalsfjorden
NO0320040900-7-C;0320040900-7-C;Badeplass Vinge (Campingplass)
NO0320041000-9-C;0320041000-9-C;Hellstranda Badeplass
NO0320041000-8-C;0320041000-8-C;Utløp Stjørdalselva
NO0320041000-11-C;0320041000-11-C;Badeplass Storvika m omegn
NO0364040100-1-C;0364040100-1-C;Breidvika
NO0242040902-C;0242040902-C;Veavågen-ytre
NO0260010501-2-C;0260010501-2-C;Dåfjorden
NO0364030600-C;0364030600-C;Herjangsfjorden
NO0340010100-C;0340010100-C;Bølefjorden
NO0240010500-C;0240010500-C;Lundarviga
NO0120020202-C;0120020202-C;Kobbervika
NO0303020100-1-C;0303020100-1-C;Halsafjordenen - Trongfjorden
NO0363030602-2-C;0363030602-2-C;Hopen
NO0360010800-C;0360010800-C;Simlebotn
NO0260020500-C;0260020500-C;Skånevikfjorden
NO0363041101-C;0363041101-C;Offersøypollen
NO0320020502-C;0320020502-C;Valsøyfjorden-ytre
NO0320040700-3-C;0320040700-3-C;Orkdalsfjorden
NO0110000300-C;0110000300-C;Rognsfjorden
NO0301011600-6-C;0301011600-6-C;Eggesbønesstraumane - Stridestraumen
NO0301011600-5-C;0301011600-5-C;Eggesbønesstraumane - Straumane
NO0320040700-2-C;0320040700-2-C;Indre Orkdalsfjorden
NO0301011600-3-C;0301011600-3-C;Eggesbønesstraumane - Eggesbøvåg
NO0301010502-2-C;0301010502-2-C;Gursken-indre
NO0301010502-3-C;0301010502-3-C;Gursken-indre, Vågen
NO0131010100-2-C;0131010100-2-C;Hundsøyfjorden-ytre
NO0320040500-7-C;0320040500-7-C;Selvabukta
NO0320040500-9-C;0320040500-9-C;Selbekk-bukta
NO0120000033-C;0120000033-C;Alvekilen
NO0101030500-C;0101030500-C;Sandøsund
NO0341020700-6-C;0341020700-6-C;Innerfolda-indre
NO0320040400-3-C;0320040400-3-C;Nordfjorden
NO0342010102-2-C;0342010102-2-C;Lonet
NO0120020100-3-C;0120020100-3-C;Breiungen
NO0320040200-3-C;0320040200-3-C;Fevågbukta
NO0341020700-3-C;0341020700-3-C;Langbogavågen
NO0341020700-7-C;0341020700-7-C;Bogavågen
NO0341020700-4-C;0341020700-4-C;Leirtjønnelvvågen
NO0320040400-2-C;0320040400-2-C;Råkvågen
NO0130010302-2-C;0130010302-2-C;Kristiansandsfjorden-indre havn
NO0282012100-3-C;0282012100-3-C;Lobukta
NO0130010302-3-C;0130010302-3-C;Kristiansandsfjorden-indre
NO0360020300-1-C;0360020300-1-C;Torgfjorden
NO0363030301-C;0363030301-C;Tømmervika - Storvika
NO0242050100-2-C;0242050100-2-C;Røværsfjorden
NO0360011300-3-C;0360011300-3-C;Øysundet
NO0363050500-C;0363050500-C;Nordlandsflaget-ytre
NO0364011500-C;0364011500-C;Brennvika
NO0401021500-C;0401021500-C;Hofsøybotnen
NO0280011200-C;0280011200-C;Bjørnefjorden
NO0280031000-C;0280031000-C;Dalsfjorden
NO0341030203-C;0341030203-C;Nærøysundet - Hummulråsa
NO0201021100-C;0201021100-C;Ånafjorden
NO0281010500-C;0281010500-C;Høydalsfjorden
NO0303020800-C;0303020800-C;Vinjefjorden - Årsund
NO0320020201-C;0320020201-C;Foldfjorden
NO0301010202-C;0301010202-C;Syltefjorden-ytre
NO0420030800-C;0420030800-C;Skillefjorden
NO0363042603-3-C;0363042603-3-C;Brønnøyholmen
NO0261040201-C;0261040201-C;Radsundet
NO0423011100-C;0423011100-C;Lille Skogfjorden
NO0401020300-C;0401020300-C;Sandøysundet
NO0242040700-C;0242040700-C;Førresfjorden
NO0282000030-C;0282000030-C;Bremanger-sørvest
NO0341000030-2-C;0341000030-2-C;Brakstadsundet
NO0421030500-C;0421030500-C;Måsøyfjorden-vest
NO0341000036-C;0341000036-C;Innersund
NO0364000030-4-C;0364000030-4-C;Pundslettvågen
NO0403040200-C;0403040200-C;Lauksundet
NO0120020100-2-C;0120020100-2-C;Lyngørfjorden-vestre
NO0403040700-C;0403040700-C;Burfjorden
NO0282011200-C;0282011200-C;Nordfjord-ytre
NO0282010900-C;0282010900-C;Skatestraumen
NO0120010202-C;0120010202-C;Sørfjorden-østre
NO0364030100-1-C;0364030100-1-C;Vargfjorden
NO0421031200-C;0421031200-C;Sarnesfjorden
NO0242040300-C;0242040300-C;Boknaflæet
NO0303011502-C;0303011502-C;Ekkilsøyvika
NO0303011302-C;0303011302-C;Kristiansund - indre havn
NO0301011205-C;0301011205-C;Søylene
NO0365030901-C;0365030901-C;Sundsstraumen
NO0260010100-2-C;0260010100-2-C;Viksefjorden
NO0401021000-C;0401021000-C;Salangen
NO0365010602-2-C;0365010602-2-C;Sortlandsundet-nord-ytre
NO0402020600-C;0402020600-C;Vågen
NO0422010803-C;0422010803-C;Kamøyfjorden
NO0362020600-C;0362020600-C;Måværfjorden
NO0320040300-C;0320040300-C;Sørfjorden- Sør for Nordfjorden
NO0110020800-1-C;0110020800-1-C;Bærøyfjorden - Skarholmane
NO0402021700-C;0402021700-C;Skogsfjorden
NO0110010100-C;0110010100-C;Helgeroafjorden
NO0361040500-2-C;0361040500-2-C;Sandnesvågen
NO0362030402-2-C;0362030402-2-C;Sørfjorden-ytre
NO0363020300-C;0363020300-C;Elvefjorden
NO0363041800-1-C;0363041800-1-C;Olderfjorden-indre
NO0365020601-C;0365020601-C;Olderfjorden-indre
NO0242010102-C;0242010102-C;Kvitsøy - Sparholmane
NO0261010402-C;0261010402-C;Grimseidpollen/Vestrepollen
NO0301021102-2-C;0301021102-2-C;Tafjorden-ytre
NO0110020700-C;0110020700-C;Skåtøysund
NO0364011000-3-C;0364011000-3-C;Kaldvågfjorden
NO0340020002-C;0340020002-C;Nord-Ellingråsa - Sør-Ellingråsa
NO0365020802-C;0365020802-C;Hellfjorden-ytre
NO0420022100-C;0420022100-C;Straumen
NO0301010301-C;0301010301-C;Vannylvsfjorden
NO0101020105-C;0101020105-C;Kurefjorden
NO0320041400-C;0320041400-C;Skarnsundet
NO0403030401-C;0403030401-C;Storfjorden-indre
NO0363030302-C;0363030302-C;Sørfjorden-indre
NO0360020400-2-C;0360020400-2-C;Smiholmen
NO0242010200-C;0242010200-C;Hafrsfjorden
NO0261000030-C;0261000030-C;Marsteinsålen - Svartskjerosen
NO0365010201-1-C;0365010201-1-C;Austpollen
NO0363020600-1-C;0363020600-1-C;Misværfjorden-ytre
NO0320040900-5-C;0320040900-5-C;Lade - Midtsanden
NO0362030700-4-C;0362030700-4-C;Reppa
NO0364010800-3-C;0364010800-3-C;Grunnvågen
NO0101000032-2-C;0101000032-2-C;Vauerkilen
NO0420040500-C;0420040500-C;Bølefjorden
NO0302011702-C;0302011702-C;Rødvenfjorden-ytre
NO0361020600-C;0361020600-C;Storbørja
NO0365010201-2-C;0365010201-2-C;Higravfjorden
NO0341010303-C;0341010303-C;Skjerpsundet
NO0280031200-C;0280031200-C;Flekkefjorden
NO0261020800-2-C;0261020800-2-C;Lonevågen
NO0341011300-C;0341011300-C;Gyltfjorden
NO0302011900-C;0302011900-C;Eresfjorden
NO0131020400-C;0131020400-C;Skjernøysundet
NO0362040800-1-C;0362040800-1-C;Glomfjorden-indre
NO0101030300-C;0101030300-C;Huikjæla
NO0401010703-C;0401010703-C;Selfjorden-ytre
NO0420030300-2-C;0420030300-2-C;Altafjorden-ytre
NO0362030402-1-C;0362030402-1-C;Sørfjorden-midtre
NO0362020500-1-C;0362020500-1-C;Matskjerfjorden
NO0303011506-C;0303011506-C;Langøysundet
NO0362041000-2-C;0362041000-2-C;Mesøyfjorden
NO0363010300-1-C;0363010300-1-C;Fugløyfjorden
NO0341030401-C;0341030401-C;Nordsalten - Ramfjordbotnet
NO0121000800-C;0121000800-C;Engekilen
NO0341010301-1-C;0341010301-1-C;Namsfjorden
NO0320020900-C;0320020900-C;Dromnessundet
NO0401021400-C;0401021400-C;Straumbotn
NO0423000031-C;0423000031-C;Kjølnes fyr - Makkaur
NO0364000030-6-C;0364000030-6-C;Pollan
NO0364010500-C;0364010500-C;Dypingspollen
NO0361030500-C;0361030500-C;Trosundet
NO0301010800-1-C;0301010800-1-C;Dalsfjorden-ytre
NO0362040600-C;0362040600-C;Bjerangsfjorden
NO0360020100-2-C;0360020100-2-C;Øysjøen
NO0240010202-C;0240010202-C;Egersund
NO0240000700-C;0240000700-C;Nålaugviga
NO0242040802-5-C;0242040802-5-C;Føynfjorden
NO0365020602-C;0365020602-C;Olderfjorden-ytre
NO0402011500-C;0402011500-C;Sørfjorden
NO0260020300-C;0260020300-C;Ølsfjorden
NO0261040500-C;0261040500-C;Hindnesfjorden
NO0364030502-C;0364030502-C;Rombaken
NO0421021000-C;0421021000-C;Akkarfjorden
NO0365020700-C;0365020700-C;Melfjorden
NO0110010801-C;0110010801-C;Langesundsfjorden
NO0260040103-C;0260040103-C;Skjeljaviksundet - Skorpesundet
NO0303021004-C;0303021004-C;Skålvikfjorden - Ytter-Vågland
NO0240010100-C;0240010100-C;Lygre
NO0363031202-C;0363031202-C;Sagfjorden
NO0420021600-C;0420021600-C;Langstrandfjorden
NO0201020900-C;0201020900-C;Rasvågen
NO0261040204-C;0261040204-C;Lindåspollen
NO0423010600-C;0423010600-C;Rafjorden
NO0242030303-2-C;0242030303-2-C;Røyrvika
NO0281010202-C;0281010202-C;Førdefjorden-ytre
NO0261030604-C;0261030604-C;Lerøysundet
NO0365010400-2-C;0365010400-2-C;Ingelsfjorden
NO0260000033-C;0260000033-C;Goddo-ytre
NO0242020502-C;0242020502-C;Årdalsfjord-ytre
NO0282012100-6-C;0282012100-6-C;Oldebukta
NO0121010500-1-C;0121010500-1-C;Lillesandsfjorden
NO0361020800-2-C;0361020800-2-C;Storfjorden
NO0281011200-C;0281011200-C;Hellefjorden
NO0120030203-2-C;0120030203-2-C;Tromøysund - Arendal
NO0363000031-3-C;0363000031-3-C;Moskenes - Flakstad
NO0240000300-C;0240000300-C;Sogndalsstranda
NO0363010800-1-C;0363010800-1-C;Sundsfjorden-indre
NO0131010500-C;0131010500-C;Dalskilen
NO0341000033-C;0341000033-C;Langsundet-indre
NO0120020100-1-C;0120020100-1-C;Lyngørfjorden-østre
NO0242010800-2-C;0242010800-2-C;Gandsfjorden-indre
NO0242030304-C;0242030304-C;Vatlandsvågen
NO0364050802-C;0364050802-C;Hopen
NO0421020300-C;0421020300-C;Langfjorden
NO0260010502-C;0260010502-C;Fitjarvika
NO0363042603-4-C;0363042603-4-C;Høynesvøda
NO0403030402-C;0403030402-C;Storfjorden-ytre
NO0364012000-C;0364012000-C;Stordjupet
NO0363010200-C;0363010200-C;Fleinværfjorden
NO0341000035-C;0341000035-C;Brønnøyfjorden
NO0120030203-1-C;0120030203-1-C;Galtesund
NO0120010102-C;0120010102-C;Østre Nordfjorden
NO0363011100-3-C;0363011100-3-C;Hopen
NO0361050400-C;0361050400-C;Skagapollen
NO0364030302-C;0364030302-C;Trongskjomen-ytre
NO0121020700-C;0121020700-C;Heslevigen
NO0341011200-C;0341011200-C;Lauvøyfjorden
NO0363042603-1-C;0363042603-1-C;Lauvåspollen
NO0101020400-3-C;0101020400-3-C;Mossesundet-ytre
NO0120010502-2-C;0120010502-2-C;Avreidkilen
NO0360020500-2-C;0360020500-2-C;Trælvikosen
NO0110021102-C;0110021102-C;Kjølebrønnskilen
NO0422020802-C;0422020802-C;Kifjorden
NO0363020200-1-C;0363020200-1-C;Trongsmoget
NO0341020100-C;0341020100-C;Folda - Kolvereid
NO0121020100-C;0121020100-C;Blindleia - Nesefjorden
NO0423010700-C;0423010700-C;Hopsfjorden
NO0301000030-C;0301000030-C;Stadt - Runde
NO0363041000-C;0363041000-C;Kilpollen
NO0360010700-1-C;0360010700-1-C;Sørfjorden-indre
NO0423011400-C;0423011400-C;Tarmfjorden
NO0110010703-C;0110010703-C;Voldsfjorden
NO0402010800-C;0402010800-C;Aursfjorden
NO0110010401-C;0110010401-C;Ønna
NO0361031100-C;0361031100-C;Rosøyvalen - Alstahaugfjorden
NO0340020202-C;0340020202-C;Botnen
NO0364020700-1-C;0364020700-1-C;Tømmeråsfjorden
NO0281011000-C;0281011000-C;Rekstafjorden
NO0301010902-C;0301010902-C;Austefjorden-indre
NO0363011100-1-C;0363011100-1-C;Saltfjorden-ytre
NO0363020100-C;0363020100-C;Ytre Sundan
NO0364011000-2-C;0364011000-2-C;Røssviksundet
NO0361010600-C;0361010600-C;Omnøyfjorden
NO0320040900-6-C;0320040900-6-C;Ilabassenget og Brattøra
NO0242010500-2-C;0242010500-2-C;Tasta - Ulsneset
NO0361020300-2-C;0361020300-2-C;Dyrnesvågen
NO0120010101-1-C;0120010101-1-C;Søndeledfjorden
NO0364020200-C;0364020200-C;Beisfjorden
NO0121010300-C;0121010300-C;Kaldvellfjorden
NO0360011000-C;0360011000-C;Osan
NO0110010600-C;0110010600-C;Eidangerfjorden
NO0101020400-2-C;0101020400-2-C;Mossesundet- indre
NO0240000600-C;0240000600-C;Nesvågen
NO0365010300-1-C;0365010300-1-C;Myrlandsfjorden
NO0130000102-2-C;0130000102-2-C;Kvåsefjorden-ytre
NO0101030101-2-C;0101030101-2-C;Kanalen
NO0301010901-1-C;0301010901-1-C;Hølen-ytre
NO0303010100-2-C;0303010100-2-C;Sandblåstvågen - Gaustadvågen
NO0320010500-C;0320010500-C;Mistfjorden
NO0363050200-C;0363050200-C;Røsthavet-indre
NO0282010800-C;0282010800-C;Storøya
NO0321010500-C;0321010500-C;Valsfjorden
NO0365020901-2-C;0365020901-2-C;Jørnfjorden-indre
NO0361040500-1-C;0361040500-1-C;Leirfjorden - Leinesodden
NO0101010405-C;0101010405-C;Østerelva
NO0364011000-1-C;0364011000-1-C;Kallstadsjøen
NO0110000035-C;0110000035-C;Skrurenna
NO0342010200-1-C;0342010200-1-C;Rødsfjorden-ytre
NO0242040801-C;0242040801-C;Visnesbukta
NO0321000030-C;0321000030-C;Frohavet-vest
NO0110020600-C;0110020600-C;Oterøyfjorden
NO0363042602-C;0363042602-C;Ytterpollen
NO0364050500-C;0364050500-C;Husvågen
NO0301010602-C;0301010602-C;Syvdsfjorden-ytre
NO0280011301-C;0280011301-C;Ytre Steinsundet
NO0240000400-C;0240000400-C;Rekefjord
NO0364010702-C;0364010702-C;Straumfjorden
NO0363010600-2-C;0363010600-2-C;Alten
NO0301020500-C;0301020500-C;Bjørkevika
NO0302011100-C;0302011100-C;Midfjorden
NO0261040205-C;0261040205-C;Bakøysundet
NO0121000033-C;0121000033-C;Ramsøysund
NO0301000031-C;0301000031-C;Ålesund-ytre
NO0361010100-C;0361010100-C;Vegafjorden - Ylvingen
NO0403030100-2-C;0403030100-2-C;Lyngen-ytre
NO0260020100-C;0260020100-C;Ålfjorden
NO0132010100-C;0132010100-C;Mannefjorden
NO0364040200-1-C;0364040200-1-C;Lavangsfjorden
NO0320010900-C;0320010900-C;Imsterfjorden
NO0360010600-3-C;0360010600-3-C;Terråkfjorden
NO0420031300-C;0420031300-C;Store Lerresfjorden
NO0341000031-C;0341000031-C;Ytter-Vikna
NO0402000030-C;0402000030-C;Røssholmdjupta
NO0110000034-1-C;0110000034-1-C;Såsteinflaket - Steinrenna
NO0280020501-C;0280020501-C;Finnabotten
NO0361030202-5-C;0361030202-5-C;Visten-ytre
NO0110000033-2-C;0110000033-2-C;Langesundsbukta - Rognsfjorden
NO0421030100-C;0421030100-C;Måsøyfjorden-øst
NO0302012600-C;0302012600-C;Grunnefjorden
NO0423011602-C;0423011602-C;Leirpollen
NO0320030102-C;0320030102-C;Bjørkøyfjorden
NO0363010300-2-C;0363010300-2-C;Gildeskål
NO0303020701-C;0303020701-C;Åsskardfjorden
NO0261010800-2-C;0261010800-2-C;Knarvik
NO0421020501-C;0421020501-C;Indre Pollen
NO0280021302-C;0280021302-C;Eidsfjorden
NO0341020400-C;0341020400-C;Nerviken
NO0420020700-C;0420020700-C;Lille Kjerringfjorden
NO0242010702-1-C;0242010702-1-C;Stavangerfjorden ytre
NO0365011100-1-C;0365011100-1-C;Strengelvågfjorden
NO0240010201-C;0240010201-C;Vandringshamna - Rosshagen
NO0360011200-2-C;0360011200-2-C;Selfjorden
NO0261010902-C;0261010902-C;Pollen
NO0341011100-C;0341011100-C;Surviksundet
NO0360010500-1-C;0360010500-1-C;Bursvikbotn
NO0420020600-C;0420020600-C;Smalfjorden
NO0364040502-C;0364040502-C;Erikstadfjorden
NO0362020400-C;0362020400-C;Aldersund
NO0280011302-C;0280011302-C;Tangenesosen - Stokkevågosen
NO0401021600-C;0401021600-C;Eidepollen
NO0362030401-C;0362030401-C;Sørfjorden-indre
NO0101010203-C;0101010203-C;Iddefjorden-ytre
NO0110021300-C;0110021300-C;Kalstadkilen
NO0365010800-1-C;0365010800-1-C;Dalflaget
NO0281011100-1-C;0281011100-1-C;Skorpefjorden
NO0110000702-C;0110000702-C;Haslumkilen
NO0110010701-C;0110010701-C;Frierfjorden
NO0282012100-2-C;0282012100-2-C;Strynebukta
NO0281010700-C;0281010700-C;Solheimsfjorden
NO0132010201-C;0132010201-C;Skogsfjord-indre
NO0363010800-2-C;0363010800-2-C;Sundsfjorden-ytre
NO0365020901-1-C;0365020901-1-C;Kvernfjorden
NO0341020200-C;0341020200-C;Fjærangen
NO0320010800-C;0320010800-C;Valslagvågen
NO0242050200-C;0242050200-C;Røværsosen
NO0242030500-C;0242030500-C;Tyssefjorden
NO0403020800-C;0403020800-C;Sørlenangen
NO0421030601-C;0421030601-C;Vesterbotnen
NO0403010800-C;0403010800-C;Grunnfjorden
NO0242010800-1-C;0242010800-1-C;Gandsfjorden ytre
NO0280030900-C;0280030900-C;Bygdevågen
NO0242040603-C;0242040603-C;Vågen
NO0260010503-C;0260010503-C;Selsfjorden
NO0360000030-C;0360000030-C;Vegafjorden
NO0121010500-2-C;0121010500-2-C;Skallefjorden
NO0421020900-C;0421020900-C;Myrfjorden
NO0132030300-C;0132030300-C;Syrdalsfjorden
NO0403040402-C;0403040402-C;Reisafjorden-ytre
NO0401010300-1-C;0401010300-1-C;Godfjorden-indre
NO0360020400-3-C;0360020400-3-C;Urdstabbvika
NO0301011501-C;0301011501-C;Gjerdsvika
NO0282011000-C;0282011000-C;Fåfjorden
